title,price,rate,category
A People's History of the United States,40.79$,2,Addacomment
Rook,37.86$,Four,Addacomment
The Midnight Watch: A Novel of the Titanic and the Californian,26.2$,1,Addacomment
Unicorn Tracks,18.78$,3,Fantasy
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02$,3,Fantasy
Princess Between Worlds (Wide-Awake Princess #5),13.34$,3,Fantasy
Crown of Midnight (Throne of Glass #2),43.29$,3,Fantasy
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09$,2,Fantasy
Throne of Glass (Throne of Glass #1),35.07$,3,Fantasy
The Glittering Court (The Glittering Court #1),44.28$,1,Fantasy
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98$,1,Fantasy
The Star-Touched Queen,46.02$,5,Fantasy
The Bane Chronicles (The Bane Chronicles #1-11),44.73$,Four,Fantasy
Island of Dragons (Unwanteds #7),29.65$,1,Fantasy
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51$,5,Fantasy
City of Glass (The Mortal Instruments #3),56.02$,Four,Fantasy
Searching for Meaning in Gailana,38.73$,1,Fantasy
The Star-Touched Queen,32.3$,5,Fantasy
A Shard of Ice (The Black Symphony Saga #1),56.63$,3,Fantasy
King's Folly (The Kinsman Chronicles #1),39.61$,5,Fantasy
Without Borders (Wanderlove #1),45.07$,2,NewAdult
The Mistake (Off-Campus #2),43.29$,3,NewAdult
The Hook Up (Game On #1),36.29$,5,NewAdult
Shameless,58.35$,3,NewAdult
Off Sides (Off #1),39.45$,5,NewAdult
The Requiem Red,22.65$,1,YoungAdult
Set Me Free,17.46$,3,YoungAdult
The Natural History of Us (The Fine Art of Pretending #2),45.22$,3,YoungAdult
Obsidian (Lux #1),14.86$,3,YoungAdult
Burning,28.81$,3,YoungAdult
A Fierce and Subtle Poison,28.13$,Four,YoungAdult
Scarlett Epstein Hates It Here,43.55$,5,YoungAdult
"Nightingale, Sing",38.28$,1,YoungAdult
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56$,5,YoungAdult
Frostbite (Vampire Academy #2),29.99$,5,YoungAdult
Wild Swans,14.36$,3,YoungAdult
Until Friday Night (The Field Party #1),46.31$,2,YoungAdult
This Is Where It Ends,27.12$,2,YoungAdult
The Darkest Lie,35.35$,5,YoungAdult
My Kind of Crazy,40.36$,1,YoungAdult
Catching Jordan (Hundred Oaks),50.83$,3,YoungAdult
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14$,Four,YoungAdult
The Epidemic (The Program 0.6),14.44$,3,YoungAdult
Stars Above (The Lunar Chronicles #4.5),48.05$,2,YoungAdult
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96$,Four,Science
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36$,5,Science
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74$,Four,Science
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55$,1,Science
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41$,1,Science
The Origin of Species,10.01$,3,Science
The Grand Design,13.76$,3,Science
Peak: Secrets from the New Science of Expertise,16.28$,3,Science
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03$,3,Science
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35$,5,Science
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83$,2,Science
Seven Brief Lessons on Physics,30.6$,Four,Science
The Selfish Gene,29.45$,1,Science
A Light in the Attic,51.77$,3,Poetry
Shakespeare's Sonnets,20.66$,Four,Poetry
Olio,23.88$,1,Poetry
You can't bury them all: Poems,33.63$,2,Poetry
Slow States of Collapse: Poems,57.31$,3,Poetry
Untitled Collection: Sabbath Poems 2014,14.27$,3,Poetry
Poems That Make Grown Women Cry,14.19$,3,Poetry
Night Sky with Exit Wounds,41.05$,1,Poetry
salt.,46.78$,Four,Poetry
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89$,5,Poetry
Out of Print: City Lights Spotlight No. 14,53.64$,5,Poetry
Les Fleurs du Mal,29.04$,5,Poetry
Howl and Other Poems,40.45$,2,Poetry
Leave This Song Behind: Teen Poetry at Its Best,51.17$,5,Poetry
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42$,3,Poetry
The Crossover,38.77$,Four,Poetry
Booked,17.49$,3,Poetry
Twenty Love Poems and a Song of Despair,30.95$,Four,Poetry
"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4$,3,Paranormal
Wall and Piece,44.18$,Four,Art
Feathers: Displays of Brilliant Plumage,49.05$,3,Art
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63$,Four,Art
The New Drawing on the Right Side of the Brain,43.02$,3,Art
History of Beauty,10.29$,3,Art
The Story of Art,41.14$,Four,Art
The Art Book,32.34$,2,Art
Ways of Seeing,39.51$,5,Art
The Lucifer Effect: Understanding How Good People Turn Evil,10.4$,3,Psychology
The Golden Condom: And Other Essays on Love Lost and Found,39.43$,1,Psychology
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27$,3,Psychology
An Unquiet Mind: A Memoir of Moods and Madness,21.3$,3,Psychology
"Thinking, Fast and Slow",21.14$,1,Psychology
8 Keys to Mental Health Through Exercise,31.04$,1,Psychology
The Argonauts,10.93$,3,Autobiography
M Train,27.18$,1,Autobiography
Lab Girl,40.85$,1,Autobiography
Approval Junkie: Adventures in Caring Too Much,58.81$,5,Autobiography
Running with Scissors,12.91$,3,Autobiography
Lust & Wonder,11.87$,3,Autobiography
Life Without a Recipe,59.04$,5,Autobiography
A Heartbreaking Work of Staggering Genius,54.29$,5,Autobiography
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,37.35$,2,Parenting
Fifty Shades Freed (Fifty Shades #3),15.36$,3,AdultFiction
The Long Haul (Diary of a Wimpy Kid #9),44.07$,1,Humor
Old School (Diary of a Wimpy Kid #10),11.83$,3,Humor
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98$,Four,Humor
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75$,3,Humor
Dress Your Family in Corduroy and Denim,43.68$,3,Humor
Toddlers Are A**holes: It's Not Your Fault,25.55$,1,Humor
When You Are Engulfed in Flames,30.89$,5,Humor
Naked,31.69$,3,Humor
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5$,5,Humor
Security,39.25$,2,Horror
Follow You Home,21.36$,1,Horror
The Loney,23.4$,1,Horror
Pet Sematary,10.56$,3,Horror
Doctor Sleep (The Shining #2),40.12$,2,Horror
Psycho: Sanitarium (Psycho #1.5),36.97$,5,Horror
Can You Keep a Secret? (Fear Street Relaunch #4),48.64$,1,Horror
Red Dragon (Hannibal Lecter #1),23.37$,3,Horror
Dracula the Un-Dead,35.63$,5,Horror
Night Shift (Night Shift #1-20),12.75$,3,Horror
Needful Things,47.51$,Four,Horror
Misery,34.79$,2,Horror
It,25.01$,3,Horror
'Salem's Lot,49.56$,Four,Horror
The Girl with All the Gifts,49.47$,3,Horror
Sapiens: A Brief History of Humankind,54.23$,5,History
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52$,1,History
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73$,3,History
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28$,2,History
Zealot: The Life and Times of Jesus of Nazareth,24.7$,3,History
A Distant Mirror: The Calamitous 14th Century,14.58$,3,History
1491: New Revelations of the Americas Before Columbus,21.8$,3,History
Brilliant Beacons: A History of the American Lighthouse,11.45$,3,History
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48$,5,History
A Short History of Nearly Everything,52.4$,5,History
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67$,2,History
Catherine the Great: Portrait of a Woman,58.55$,Four,History
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91$,5,History
The Hiding Place,55.91$,Four,History
The Guns of August,14.54$,3,History
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7$,2,History
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52$,3,FoodandDrink
My Paris Kitchen: Recipes and Stories,33.37$,2,FoodandDrink
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02$,3,FoodandDrink
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11$,1,FoodandDrink
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34$,5,FoodandDrink
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6$,2,FoodandDrink
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25$,1,FoodandDrink
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16$,3,FoodandDrink
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77$,3,FoodandDrink
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55$,3,FoodandDrink
Barefoot Contessa Back to Basics,28.01$,1,FoodandDrink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62$,5,FoodandDrink
My Kitchen Year: 136 Recipes That Saved My Life,11.53$,3,FoodandDrink
Everyday Italian: 125 Simple and Delicious Recipes,20.1$,5,FoodandDrink
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77$,1,FoodandDrink
Cravings: Recipes for What You Want to Eat,20.5$,3,FoodandDrink
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34$,3,FoodandDrink
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38$,3,FoodandDrink
Redeeming Love,20.47$,5,ChristianFiction
Close to You,49.46$,Four,ChristianFiction
Shadows of the Past (Logan Point #1),39.67$,5,ChristianFiction
Like Never Before (Walker Family #2),28.77$,2,ChristianFiction
Counted With the Stars (Out from Egypt #1),17.97$,3,ChristianFiction
If I Run (If I Run #1),49.97$,Four,ChristianFiction
The Dirty Little Secrets of Getting Your Dream Job,33.34$,Four,Business
The Third Wave: An Entrepreneur’s Vision of the Future,12.61$,3,Business
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55$,3,Business
Shoe Dog: A Memoir by the Creator of NIKE,23.99$,2,Business
Made to Stick: Why Some Ideas Survive and Others Die,38.85$,5,Business
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14$,1,Business
The Art of Startup Fundraising,21.0$,3,Business
Born for This: How to Find the Work You Were Meant to Do,21.59$,5,Business
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91$,1,Business
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92$,3,Business
Rework,44.88$,2,Business
Louisa: The Extraordinary Life of Mrs. Adams,16.85$,3,Biography
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15$,2,Biography
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55$,1,Biography
Benjamin Franklin: An American Life,48.19$,3,Biography
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57$,3,Biography
In Her Wake,12.84$,3,Thriller
The Elephant Tree,23.82$,5,Thriller
Behind Closed Doors,52.22$,Four,Thriller
You (You #1),43.61$,5,Thriller
The Guilty (Will Robie #4),13.82$,3,Thriller
The 14th Colony (Cotton Malone #11),39.24$,1,Thriller
Give It Back,18.32$,3,Thriller
Killing Floor (Jack Reacher #1),31.49$,Four,Thriller
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71$,3,Thriller
Far From True (Promise Falls Trilogy #2),34.93$,2,Thriller
The Travelers,15.77$,3,Thriller
When We Collided,31.77$,1,Contemporary
Someone Like You (The Harrisons #2),52.79$,5,Contemporary
We Are All Completely Beside Ourselves,24.04$,1,Contemporary
The Four Agreements: A Practical Guide to Personal Freedom,17.66$,3,Spirituality
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24$,5,Spirituality
Chasing Heaven: What Dying Taught Me About Living,37.8$,2,Spirituality
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91$,1,Spirituality
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33$,2,Spirituality
A New Earth: Awakening to Your Life's Purpose,55.65$,5,Spirituality
Logan Kade (Fallen Crest High #5.5),13.12$,3,Academic
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35$,1,SelfHelp
How to Be Miserable: 40 Strategies You Already Use,46.03$,1,SelfHelp
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15$,3,SelfHelp
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08$,3,SelfHelp
How to Stop Worrying and Start Living,46.49$,5,SelfHelp
All the Light We Cannot See,29.87$,5,Historical
The Girl You Left Behind (The Girl You Left Behind #1),15.79$,3,Historical
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0$,5,Christian
Crazy Love: Overwhelmed by a Relentless God,47.72$,2,Christian
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77$,1,Christian
Silence in the Dark (Logan Point #4),58.33$,3,Suspense
The Grownup,35.88$,1,ShortStories
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81$,5,Novels
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05$,3,Health
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71$,5,Health
The Art and Science of Low Carbohydrate Living,52.98$,5,Health
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65$,Four,Politics
Amid the Chaos,36.58$,1,Cultural
Dark Notes,19.19$,3,Erotica
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97$,3,Crime
title-0,20.0$,1,Programming
title-1,21.0$,2,Programming
title-2,22.0$,3,Programming
title-3,23.0$,Four,Programming
title-4,24.0$,5,Programming
